epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,416.16,0.4001,0.35283,0.54613,0.87523,0.88531,0.97023,0.9294,0.86327,0.88531,0.97023,0.9294,0.91021,0.3952,0.26153,1.23493,0.91128,0.00134506,0.00134506,0.00134506
91,420.753,0.3947,0.31804,0.6142,0.90089,0.8675,1,0.94434,0.90813,0.8675,1,0.94434,0.9233,0.31432,0.24608,0.9176,0.86246,0.00134412,0.00134412,0.00134412
92,425.347,0.40482,0.33779,0.60404,0.89442,0.8733,0.96455,0.96007,0.9279,0.8733,0.96455,0.96007,0.92873,0.3018,0.29154,0.99849,0.86171,0.00134317,0.00134317,0.00134317
93,430.049,0.38995,0.33052,0.54695,0.88146,0.8813,0.93796,0.95609,0.92905,0.8813,0.93796,0.95609,0.93199,0.29783,0.23708,1.02537,0.87448,0.00134223,0.00134223,0.00134223
94,434.775,0.39718,0.30298,0.53301,0.87877,0.89481,0.86489,0.955,0.93387,0.89481,0.86489,0.955,0.9295,0.30296,0.23398,1.10176,0.8645,0.00134129,0.00134129,0.00134129
95,439.496,0.371,0.31317,0.49868,0.86661,0.85667,0.98333,0.93393,0.90278,0.85667,0.98333,0.93393,0.91329,0.32948,0.25563,1.2962,0.88941,0.00134034,0.00134034,0.00134034
96,444.079,0.39919,0.32795,0.51712,0.89438,0.8357,0.98122,0.93974,0.9008,0.8357,0.98122,0.93974,0.89785,0.34488,0.26553,1.04036,0.88208,0.0013394,0.0013394,0.0013394
97,448.667,0.42492,0.34029,0.58284,0.89821,0.83889,0.98333,0.94926,0.92493,0.83889,0.98333,0.94926,0.92037,0.29715,0.2223,1.2196,0.87223,0.00133846,0.00133846,0.00133846
98,453.273,0.38725,0.2941,0.53649,0.87497,0.85321,0.99417,0.95745,0.92929,0.85321,0.99417,0.95745,0.93259,0.30642,0.23624,1.25601,0.87166,0.00133752,0.00133752,0.00133752
99,457.888,0.38027,0.31418,0.50701,0.88351,0.89395,0.95,0.96128,0.92727,0.89395,0.95,0.96128,0.9298,0.3186,0.22491,1.12829,0.8657,0.00133657,0.00133657,0.00133657
100,462.453,0.37329,0.31243,0.50206,0.86818,0.9912,0.01667,0.06833,0.06833,0.9912,0.01667,0.06833,0.06833,4.72859,30.2057,6.4804,12.3232,0.00133563,0.00133563,0.00133563
101,467.033,0.38609,0.32799,0.53885,0.8817,0.67325,0.83985,0.854,0.73915,0.67325,0.83985,0.854,0.80731,0.85327,1.46066,2.43292,1.12998,0.00133469,0.00133469,0.00133469
102,471.623,0.40833,0.30568,0.56777,0.90811,0.59539,0.54733,0.54363,0.41254,0.59539,0.54733,0.55235,0.41353,1.44071,3.63766,2.24555,1.74523,0.00133374,0.00133374,0.00133374
103,476.221,0.35938,0.30652,0.51831,0.87868,0.86479,0.83055,0.87743,0.81222,0.86479,0.83055,0.87657,0.81532,0.52028,0.68163,1.2441,1.0269,0.0013328,0.0013328,0.0013328
104,480.797,0.38285,0.30842,0.54639,0.89436,0.80335,0.98676,0.95898,0.91157,0.80335,0.98676,0.95898,0.93269,0.39653,0.26902,1.36521,0.90204,0.00133186,0.00133186,0.00133186
105,485.403,0.40538,0.29933,0.54935,0.90453,0.83471,0.91667,0.88038,0.84252,0.83471,0.91667,0.88038,0.86231,0.33924,0.23586,1.67703,0.88081,0.00133091,0.00133091,0.00133091
106,489.98,0.38422,0.3422,0.56949,0.86773,0.7304,0.87201,0.85299,0.79333,0.7304,0.87201,0.85299,0.79958,0.49277,5.03769,1.67085,1.14813,0.00132997,0.00132997,0.00132997
107,494.576,0.40681,0.31355,0.53567,0.87657,0.86853,0.95,0.96548,0.91322,0.86853,0.95,0.96548,0.92594,0.37024,0.24652,1.06201,0.90113,0.00132903,0.00132903,0.00132903
108,499.175,0.37594,0.29842,0.53338,0.86586,0.86581,0.98843,0.95505,0.91816,0.86581,0.98843,0.95505,0.92938,0.34187,0.24672,1.35007,0.86211,0.00132808,0.00132808,0.00132808
109,503.793,0.36452,0.31503,0.53675,0.87694,0.82835,0.96446,0.93604,0.90474,0.82835,0.96446,0.93604,0.9109,0.31061,0.24415,1.35055,0.85592,0.00132714,0.00132714,0.00132714
110,508.403,0.39731,0.31518,0.52584,0.8952,0.8148,0.98436,0.95765,0.92306,0.8148,0.98436,0.95765,0.93081,0.3012,0.2232,1.0994,0.86445,0.0013262,0.0013262,0.0013262
111,513.002,0.38271,0.32712,0.51064,0.89301,0.8785,1,0.96997,0.93375,0.8785,1,0.96997,0.94076,0.33586,0.24574,0.82099,0.8713,0.00132525,0.00132525,0.00132525
112,517.72,0.37946,0.31844,0.54943,0.89073,0.8927,0.97928,0.95964,0.92657,0.8927,0.97928,0.95964,0.9317,0.32158,0.22567,1.00304,0.8726,0.00132431,0.00132431,0.00132431
113,522.299,0.3599,0.30823,0.51134,0.86111,0.88187,0.99132,0.96497,0.92786,0.88187,0.99132,0.96497,0.93931,0.31993,0.2734,1.26328,0.87478,0.00132337,0.00132337,0.00132337
114,526.892,0.38544,0.30807,0.54973,0.89155,0.86191,0.99908,0.94822,0.91529,0.86191,0.99908,0.94822,0.9274,0.33419,0.22087,1.11272,0.86377,0.00132243,0.00132243,0.00132243
