epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1659.26,0.24083,0.17149,0.31968,0.85155,0.99785,0.98117,0.99426,0.99138,0.99785,0.98117,0.99426,0.99303,0.10807,0.08804,0.41102,0.60137,0.0097426,0.0097426,0.0097426
41,1700.68,0.2449,0.17207,0.31511,0.85227,0.97986,0.99776,0.99293,0.98976,0.97986,0.99776,0.99293,0.99229,0.1105,0.09042,1.66334,0.60257,0.009736,0.009736,0.009736
42,1742.1,0.23725,0.16406,0.31923,0.84988,0.99411,0.98763,0.99451,0.99278,0.99411,0.98763,0.99451,0.99403,0.1047,0.0902,0.7403,0.59958,0.0097294,0.0097294,0.0097294
43,1783.52,0.2388,0.17551,0.32535,0.84626,0.99494,0.99667,0.99495,0.99282,0.99494,0.99667,0.99495,0.99493,0.10871,0.09133,0.82741,0.60547,0.0097228,0.0097228,0.0097228
44,1825.04,0.23329,0.17102,0.32365,0.84967,0.98821,0.99423,0.99478,0.99218,0.98821,0.99423,0.99478,0.99451,0.12236,0.09864,1.1848,0.60431,0.0097162,0.0097162,0.0097162
45,1866.46,0.23507,0.17785,0.2995,0.8491,0.98077,0.99167,0.9946,0.99343,0.98077,0.99167,0.9946,0.99433,0.10778,0.09812,0.44954,0.60071,0.0097096,0.0097096,0.0097096
46,1907.99,0.23876,0.18069,0.32259,0.85088,0.99728,0.98667,0.99459,0.99311,0.99728,0.98667,0.99459,0.99403,0.1018,0.09037,1.07865,0.59684,0.009703,0.009703,0.009703
47,1949.31,0.23132,0.16881,0.30097,0.84584,0.99593,0.99373,0.99497,0.9944,0.99593,0.99373,0.99497,0.99493,0.10185,0.09259,0.56515,0.59876,0.0096964,0.0096964,0.0096964
48,1990.72,0.22575,0.17316,0.29428,0.84456,0.99728,0.995,0.99475,0.99287,0.99728,0.995,0.99482,0.99413,0.10544,0.09597,0.56314,0.59659,0.0096898,0.0096898,0.0096898
49,2031.91,0.23032,0.17214,0.31159,0.84587,0.99205,0.99242,0.99437,0.99347,0.99205,0.99242,0.99437,0.99409,0.10445,0.09471,0.58472,0.5977,0.0096832,0.0096832,0.0096832
50,2073.03,0.23714,0.17868,0.31504,0.84644,0.99805,0.99424,0.99498,0.9929,0.99805,0.99424,0.99498,0.99428,0.10755,0.09868,0.41241,0.59758,0.0096766,0.0096766,0.0096766
51,2114.35,0.23018,0.17691,0.30794,0.84809,0.99554,0.99065,0.99459,0.9927,0.99554,0.99065,0.99459,0.99428,0.1046,0.10039,0.62982,0.5956,0.00967,0.00967,0.00967
52,2155.54,0.22897,0.1824,0.32341,0.84444,0.99503,0.99119,0.99463,0.99346,0.99503,0.99119,0.99463,0.99413,0.0977,0.09509,0.72034,0.596,0.0096634,0.0096634,0.0096634
53,2196.92,0.2261,0.17604,0.3088,0.84637,0.98619,0.99333,0.99466,0.99301,0.98619,0.99333,0.99466,0.99412,0.10428,0.09067,1.12699,0.59659,0.0096568,0.0096568,0.0096568
54,2238.17,0.22558,0.16755,0.29468,0.84362,0.99739,0.98767,0.99452,0.99388,0.99739,0.98767,0.99452,0.99383,0.1061,0.09378,0.80621,0.59723,0.0096502,0.0096502,0.0096502
55,2279.55,0.22427,0.16712,0.29706,0.84501,0.99321,0.99395,0.99475,0.99389,0.99321,0.99395,0.99475,0.99459,0.10464,0.08767,1.20359,0.60004,0.0096436,0.0096436,0.0096436
56,2320.88,0.22517,0.17111,0.2986,0.84487,0.99327,0.99783,0.9949,0.99315,0.99327,0.99783,0.9949,0.99397,0.10438,0.09541,0.53875,0.60352,0.009637,0.009637,0.009637
57,2362.25,0.2207,0.16957,0.29358,0.84822,0.9976,0.99443,0.99493,0.99435,0.9976,0.99443,0.99493,0.99478,0.10099,0.09475,0.73954,0.59926,0.0096304,0.0096304,0.0096304
58,2403.49,0.2244,0.16341,0.29097,0.84801,0.99819,0.99,0.99477,0.99357,0.99819,0.99,0.99477,0.99452,0.09642,0.09073,0.64776,0.5957,0.0096238,0.0096238,0.0096238
59,2444.87,0.22274,0.15995,0.28642,0.84359,0.99735,0.9902,0.99485,0.99333,0.99735,0.9902,0.99485,0.99463,0.0963,0.09127,0.62116,0.59268,0.0096172,0.0096172,0.0096172
60,2486.13,0.22001,0.17044,0.29057,0.84226,0.98944,0.98399,0.99318,0.99239,0.98944,0.98399,0.99318,0.99291,0.0954,0.09006,0.98519,0.59771,0.0096106,0.0096106,0.0096106
61,2527.34,0.21904,0.1659,0.28314,0.84937,0.99243,0.995,0.99412,0.99382,0.99243,0.995,0.99412,0.9939,0.09319,0.09306,1.1487,0.59504,0.009604,0.009604,0.009604
62,2568.55,0.21572,0.17218,0.29686,0.84795,0.99592,0.995,0.99485,0.99454,0.99592,0.995,0.99485,0.99455,0.08826,0.09322,0.53326,0.59367,0.0095974,0.0095974,0.0095974
63,2609.81,0.21472,0.16727,0.28476,0.84551,0.99768,0.9945,0.9947,0.9931,0.99768,0.9945,0.9947,0.99434,0.09673,0.09328,0.74502,0.59573,0.0095908,0.0095908,0.0095908
64,2651.26,0.22241,0.1696,0.27732,0.84667,0.99881,0.99419,0.99489,0.99444,0.99881,0.99419,0.99489,0.99466,0.0945,0.08724,0.32337,0.59601,0.0095842,0.0095842,0.0095842
65,2692.75,0.22261,0.16574,0.27022,0.84277,0.99707,0.9977,0.995,0.99358,0.99707,0.9977,0.995,0.99489,0.0951,0.09397,0.51692,0.59725,0.0095776,0.0095776,0.0095776
66,2734.16,0.21848,0.17107,0.27635,0.84672,0.9901,0.99667,0.99479,0.99316,0.9901,0.99667,0.99479,0.99435,0.09627,0.09414,1.40963,0.59496,0.009571,0.009571,0.009571
67,2775.46,0.21681,0.16384,0.27869,0.84154,0.99865,0.99167,0.99463,0.99457,0.99865,0.99167,0.99463,0.99461,0.08708,0.09248,0.73082,0.59286,0.0095644,0.0095644,0.0095644
68,2816.75,0.21809,0.16211,0.28041,0.84198,0.98582,0.99581,0.99423,0.99398,0.98582,0.99581,0.99423,0.99388,0.09189,0.09077,0.38853,0.59427,0.0095578,0.0095578,0.0095578
69,2858.01,0.21416,0.1613,0.27422,0.83768,0.99945,0.99333,0.99485,0.99454,0.99945,0.99333,0.99485,0.99389,0.09185,0.09584,0.63068,0.59302,0.0095512,0.0095512,0.0095512
